input_text,target_text
uidganti,diganti
umsikal,musikal
othel,hotel
poersahabatan,persahabatan
qustria,austria
jonarki,monarki
qkbinet,kabinet
porofesi,profesi
erpibadi,pribadi
ucup,cukup
eabut,rambut
mminta,meminta
pat,empat
bgiasa,biasa
njelang,menjelang
oprubahan,perubahan
eiterima,diterima
onya,punya
erknik,teknik
eihancurkan,dihancurkan
ujmongol,mongol
wenre,genre
jmara,muara
erisis,krisis
btuan,batuan
egan,adegan
qsenior,senior
yumla,mula
ubpati,bupati
ooensi,potensi
iaket,paket
udnia,dunia
gbambang,bambang
jmesin,mesin
rdekatan,berdekatan
ujektar,nektar
inki,kini
jmakna,makna
enmerus,menerus
osda,dosa
aaran,ajaran
ysuh,musuh
kat,kata
wepnerimaan,penerimaan
wsbelum,sebelum
wenderita,penderita
wsaa,sana
opuisi,puisi
iopencarian,pencarian
qbhaya,bahaya
relanjut,berlanjut
jmark,mark
takni,yakni
elpayanan,pelayanan
wmnduduki,menduduki
erpomosi,promosi
eruangan,ruangan
wdukungan,dukungan
wtangga,tetangga
udbawa,dibawa
iqlayahnya,wilayahnya
ilangan,kalangan
teujuh,ketujuh
ysrvei,survei
qalalh,allah
insgapura,singapura
olbar,lebar
weera,segera
jmenyebutkan,menyebutkan
wtntang,tentang
qwsambil,sambil
umsalnya,misalnya
wengan,dengan
umasuk,masuk
ewrbia,serbia
etersebar,tersebar
gberubah,berubah
edpat,cepat
wendengar,mendengar
mebilan,sembilan
iengembangan,pengembangan
ejngenal,mengenal
wb,be
wwafat,wafat
umenyelesaikan,menyelesaikan
seantren,pesantren
wngsa,wangsa
wedarurat,darurat
edikembangkan,dikembangkan
qahirnya,akhirnya
dmainistratif,administratif
aqpi,api
jmnarki,monarki
iptera,diptera
hstrumen,instrumen
wembayar,membayar
udnyatakan,dinyatakan
udmaksudkan,dimaksudkan
wseesai,selesai
wrangkaian,rangkaian
edpandang,dipandang
or,ekor
ioparlemen,parlemen
tgbelgia,belgia
tandar,standar
uikendaraan,kendaraan
jnum,minum
ukaca,kaca
usami,suami
ukul,pukul
ckang,kacang
werkurang,berkurang
wseungguhnya,sesungguhnya
oprnikahan,pernikahan
trsebut,tersebut
tyajam,tajam
juuli,juli
yunfrastruktur,infrastruktur
ikaena,karena
ntes,kontes
ermbongan,rombongan
ikrajaan,kerajaan
neyelenggarakan,menyelenggarakan
sp,smp
emnjelang,menjelang
webangkitan,kebangkitan
wegislatif,legislatif
wstu,situ
ahaya,cahaya
ioplatform,platform
qakrenanya,karenanya
eterkenal,terkenal
oita,pita
eak,letak
wprikanan,perikanan
embantu,membantu
aime,anime
uqstralia,australia
srver,server
rfiri,ciri
olpangan,lapangan
msa,musa
tbeban,beban
ncangan,rancangan
wbrguna,berguna
quatu,suatu
jmenjalin,menjalin
wqaku,aku
agding,daging
ioasukannya,pasukannya
fvokal,vokal
eaministratif,administratif
poersamaan,persamaan
qajrang,jarang
watuan,satuan
gbrada,berada
qabris,baris
yaang,sayang
ucaca,cuaca
uianker,kanker
wigambarkan,digambarkan
oembangunan,pembangunan
ikeonomi,ekonomi
thukum,hukum
bgerpartisipasi,berpartisipasi
prkotaan,perkotaan
ilatar,latar
uimenangkan,dimenangkan
edahaya,cahaya
ecdera,cedera
waf,staf
ajtematika,matematika
giara,biara
ejmakan,memakan
ndira,indra
kcng,kacang
wsdar,sadar
ntai,anti
abrt,barat
adis,gadis
yusun,dusun
ujndur,mundur
yambar,gambar
qwsehingga,sehingga
weberapa,beberapa
meberontak,pemberontak
yindah,indah
ubruh,buruh
etpugas,petugas
qadsar,dasar
paostolik,apostolik
uiekayaan,kekayaan
bgerhenti,berhenti
mebunuhan,pembunuhan
riistal,kristal
apnggilan,panggilan
wenggara,tenggara
kiolam,kolam
ederasi,federasi
neyebar,menyebar
qplestina,palestina
oletaknya,letaknya
ioembentukan,pembentukan
engawasan,pengawasan
mjemerintah,memerintah
mjisalnya,misalnya
epnguasa,penguasa
rgentina,argentina
oprimordial,primordial
wnar,sinar
ioskop,bioskop
uklaim,klaim
wtrbanyak,terbanyak
uubuh,tubuh
thidup,hidup
ransportasi,transportasi
ihburan,hiburan
iolewat,lewat
bhaya,bahaya
edipandang,dipandang
ukota,kota
errletak,terletak
dalah,adalah
searnya,besarnya
wserangan,serangan
ewbagian,sebagian
iskap,sikap
gberbasis,berbasis
ritm,tim
gbai,bagi
rtks,teks
oq,la
ei,seni
yla,gula
qelat,selat
oameran,pameran
ujodern,modern
ipenjualan,penjualan
emepat,keempat
edminan,dominan
ioertunjukan,pertunjukan
qmat,amat
jmemastikan,memastikan
hndah,indah
opmukiman,pemukiman
ujsa,musa
poercaya,percaya
wegrbang,gerbang
mja,ma
wluru,peluru
eombaga,lembaga
qwaran,tawaran
vfoc,voc
wnaga,tenaga
stria,austria
gerkedudukan,berkedudukan
qanti,anti
jmenjelaskan,menjelaskan
poakaian,pakaian
weakili,mewakili
umaterial,material
kiirim,dikirim
kii,kiri
pnasihat,penasihat
ngadilan,pengadilan
ihilangan,kehilangan
rehadap,terhadap
iopermainan,permainan
jmenentang,menentang
qakwan,kawan
erterbatas,terbatas
ioersamaan,persamaan
uoyang,moyang
bgawang,bawang
kiekaisaran,kekaisaran
jenyukai,menyukai
qarksasa,raksasa
jandiri,mandiri
jmbintangi,membintangi
wiap,siap
prfilman,perfilman
wslamat,selamat
ujmelalui,melalui
rerlalu,terlalu
ienginan,keinginan
at,plat
ekssual,seksual
uuat,jumat
intgkatan,tingkatan
wrbentuk,terbentuk
duentitas,identitas
lombang,gelombang
bgidang,bidang
edimanfaatkan,dimanfaatkan
wrahasia,rahasia
ejnjalani,menjalani
iopiala,piala
ujatuh,jatuh
ikooni,koloni
iegambarkan,digambarkan
wemi,mei
uotak,otak
ian,asian
wetrgantung,tergantung
emerintahan,pemerintahan
uperankan,diperankan
eat,pesat
hat,lihat
edai,dari
ipangan,pangan
uikolam,kolam
wervolusi,revolusi
swolusi,solusi
rmah,marah
wrumput,rumput
qwsebuah,sebuah
eidokteran,kedokteran
ugunakan,digunakan
jaluku,maluku
qsilitas,fasilitas
uldu,dulu
geatif,negatif
rterluka,terluka
wegan,adegan
armil,tamil
rpoyek,proyek
oatung,patung
gbnjir,banjir
ioembebasan,pembebasan
rtais,gratis
edbedakan,dibedakan
erya,raya
iiuti,diikuti
udsebabkan,disebabkan
isus,kasus
jrga,marga
gnkasa,angkasa
edurm,drum
opngan,pangan
wprfilman,perfilman
kmenangan,kemenangan
ugelar,digelar
uorgan,organ
yaa,gaya
rtais,artis
tgegitu,begitu
tgbukan,bukan
wemnjawab,menjawab
ylmiah,ilmiah
nuyi,bunyi
wsleksi,seleksi
wmngajak,mengajak
poerangkat,perangkat
ylka,luka
iunsinyur,insinyur
qdanya,adanya
egrlokasi,berlokasi
ernak,ternak
jmbentang,membentang
hiusus,khusus
poerjuangan,perjuangan
ujmakanannya,makanannya
mjelawan,melawan
erepat,tepat
ertgantung,tergantung
wseri,seri
nqjing,anjing
oprotein,protein
iopecah,pecah
airya,karya
ikredit,kredit
ebat,hebat
erfraksi,fraksi
wkonomi,ekonomi
aaan,zaman
dcatik,cantik
enghentikan,menghentikan
teliau,beliau
werbentuk,terbentuk
eregal,tegal
ertjual,terjual
iputeri,puteri
rtngga,tangga
tbengkulu,bengkulu
udkungan,dukungan
tntu,tentu
esrbia,serbia
wsitri,istri
wyarat,syarat
eyntang,tentang
gtina,betina
uelak,kelak
arkas,markas
oers,pers
hntal,natal
rsatu,bersatu
ysisi,musisi
knsentrasi,konsentrasi
naeh,aneh
enunjukkan,menunjukkan
eombinaan,pembinaan
aibel,kabel
rdikit,sedikit
mjewakili,mewakili
sii,isi
yhebat,hebat
ralaksi,galaksi
ita,tiba
iminasi,nominasi
ildakukan,dilakukan
aisns,sains
indyanyikan,dinyanyikan
kiiri,kiri
ecetak,cetak
thelikopter,helikopter
wbruari,februari
edanya,adanya
afta,fakta
eseluruhan,keseluruhan
ejndengar,mendengar
sigen,oksigen
mkhluk,makhluk
terjuang,berjuang
fntik,cantik
hiduk,induk
bgulan,bulan
jmnyimpan,menyimpan
wsmur,sumur
rwa,era
eisi,berisi
hnasionalis,nasionalis
eformasi,formasi
ososk,sosok
qefek,efek
nurunkan,menurunkan
etantangan,tantangan
amsudra,samudra
dcrebon,cirebon
yusmber,sumber
qsatawan,wisatawan
ewmangat,semangat
wepndudukan,pendudukan
reisi,berisi
wamor,amor
wqgen,agen
erancangan,rancangan
edmai,damai
mjenguntungkan,menguntungkan
emnurut,menurut
usb,bus
ukontak,kontak
qaneh,aneh
wsetengah,setengah
engunjungi,mengunjungi
orangkat,perangkat
wwaktu,sewaktu
nginginkan,menginginkan
wadilan,keadilan
aokar,pakar
ieraton,keraton
sqian,asian
ukarakter,karakter
mjenunjuk,menunjuk
wkbangsaan,kebangsaan
qwselatan,selatan
aelamnya,dalamnya
erusakan,kerusakan
wetengah,setengah
usantara,nusantara
jmengganggu,mengganggu
oegislatif,legislatif
qsenat,senat
bgerpindah,berpindah
mangat,semangat
dsebut,disebut
jski,meski
wrharap,berharap
ebrbatasan,berbatasan
errtentu,tertentu
ienyebaran,penyebaran
ebrkarier,berkarier
uidsebut,disebut
yngkin,mungkin
jnghadapi,menghadapi
gtenre,genre
wqaksi,aksi
gbsis,basis
ujasalah,masalah
kuatan,kekuatan
abinet,kabinet
hrailand,thailand
wdijadwalkan,dijadwalkan
uiaum,kaum
jms,sm
wmrasa,merasa
qahan,lahan
kla,kala
wngajar,mengajar
oloam,logam
eerpisah,terpisah
wrlebih,terlebih
ioperasi,operasi
emamndang,memandang
onkvensi,konvensi
gberkaitan,berkaitan
iebenaran,kebenaran
asara,aksara
yrta,harta
kietentuan,ketentuan
jmuatan,muatan
iolakukan,lakukan
trakut,takut
ik,kim
tbumi,bumi
mjinahasa,minahasa
ihdarapkan,diharapkan
deiterima,diterima
qdrah,darah
ewtiap,setiap
bgerpengaruh,berpengaruh
yitam,hitam
umenjelang,menjelang
mnyebabkan,menyebabkan
erakyat,rakyat
eagan,adegan
ikementerian,kementerian
aibupaten,kabupaten
kmster,master
yhistoris,historis
juangka,jangka
yhrian,harian
jnjawab,menjawab
ysil,hasil
dqapun,adapun
jmnuju,menuju
umerusak,merusak
mjasalah,masalah
akyin,yakin
wenggunakan,menggunakan
neurun,menurun
qkmboja,kamboja
ooerator,operator
wemannya,temannya
welanggaran,pelanggaran
elmak,lemak
otunjuk,petunjuk
tmbaran,gambaran
irgan,organ
raiwisata,pariwisata
oar,liar
froto,foto
rterbesar,terbesar
iundra,indra
gberharap,berharap
swebut,sebut
ewhingga,sehingga
umik,musik
oredator,predator
opangkat,pangkat
ioernikahan,pernikahan
jengalahkan,mengalahkan
enerimaan,penerimaan
qabum,album
rinal,final
mkbar,kembar
tbertambah,bertambah
qgasan,gagasan
atgasan,gagasan
wmngubah,mengubah
wergi,energi
uetiga,ketiga
umakan,makan
ntu,tentu
ejlibatkan,melibatkan
upandang,dipandang
qklimat,kalimat
uikatan,ikatan
bgerkuasa,berkuasa
ebrsih,bersih
jmian,main
ipolandia,polandia
ty,y
reeaksi,reaksi
rtajam,tajam
oloa,pola
wedia,swedia
ikgiatan,kegiatan
zarjana,sarjana
emilihan,pemilihan
qekolah,sekolah
ikeberadaan,keberadaan
oota,kota
oingkok,tiongkok
opesies,spesies
ikcelakaan,kecelakaan
rasasti,prasasti
iannya,lainnya
ulhat,lihat
voel,novel
qwancara,wawancara
gbrani,berani
wedataran,dataran
qalet,atlet
uorganisasi,organisasi
ikpulauan,kepulauan
tgb,b
psukannya,pasukannya
iopajak,pajak
uipdato,pidato
udka,kuda
eryaa,raya
poenerimaan,penerimaan
krtu,kartu
qwsisa,sisa
uswa,siswa
vkalis,vokalis
emsula,semula
edemokrasi,demokrasi
espedisi,ekspedisi
aulifikasi,kualifikasi
akat,bakat
trenggelam,tenggelam
wrategis,strategis
egrjumlah,berjumlah
qsekretaris,sekretaris
kqar,akar
rfrksi,fraksi
wcamatan,kecamatan
oprsamaan,persamaan
umenyampaikan,menyampaikan
mnggunakan,menggunakan
jmenyaksikan,menyaksikan
qetnis,etnis
wektiganya,ketiganya
neggunaan,penggunaan
qatyang,tayang
wpmbangkit,pembangkit
rmenjak,semenjak
qgang,dagang
ioko,toko
emandangan,pemandangan
ujajalah,majalah
uidlihat,dilihat
qayuran,sayuran
qjri,jari
gersih,bersih
wlas,kelas
elpanggan,pelanggan
wepnonton,penonton
qudaranya,saudaranya
iperumahan,perumahan
udhancurkan,dihancurkan
rluruh,seluruh
amssal,massal
ovkalis,vokalis
uian,ujian
ita,pita
ejngajak,mengajak
inflandia,finlandia
kror,rekor
kiebutuhan,kebutuhan
rbicara,berbicara
pmpinan,pimpinan
weibaca,dibaca
mjenggantikan,menggantikan
wdihukum,dihukum
upkiran,pikiran
wtrbentuk,terbentuk
edbuat,dibuat
qtris,aktris
uirael,israel
qam,adam
jngajak,mengajak
udtarik,ditarik
meegang,memegang
olengkap,lengkap
iepisahkan,dipisahkan
frrekuensi,frekuensi
katu,waktu
qkenario,skenario
yukti,bukti
olkitab,alkitab
dearat,darat
ikpiran,pikiran
tymat,umat
bgerbasis,berbasis
ertlihat,terlihat
embawa,membawa
enmonjol,menonjol
itdulis,ditulis
poutri,putri
enjabat,menjabat
edlapan,delapan
uugur,gugur
iokmandan,komandan
wenciptakan,menciptakan
uunya,ibunya
iola,la
ewpisode,episode
neggabungkan,menggabungkan
mjode,mode
wenganut,penganut
mebantu,membantu
jmhkota,mahkota
wnyelenggaraan,penyelenggaraan
ioewat,lewat
mdel,model
rfvokalis,vokalis
sweni,seni
iklonel,kolonel
udbuat,dibuat
cdatatan,catatan
qwsensus,sensus
oineral,mineral
swalib,salib
rudm,drum
wedinamakan,dinamakan
asling,saling
xai,cair
eundela,jendela
wesrbia,serbia
aprh,parah
emnjalin,menjalin
udbawakan,dibawakan
webrpengaruh,berpengaruh
udmiliki,dimiliki
mssal,massal
weikirim,dikirim
mjengakhiri,mengakhiri
adma,drama
ipensiun,pensiun
eksitar,sekitar
dndi,candi
deiterbitkan,diterbitkan
yulng,ulang
abik,balik
wqllah,allah
ereat,erat
etelevisi,televisi
emngakhiri,mengakhiri
mnteri,menteri
wsang,sang
qaboratorium,laboratorium
twudio,studio
eakn,rekan
ttiket,tiket
qsendiri,sendiri
akmr,kamar
uangga,tangga
kcil,kecil
oof,prof
yhnyata,nyata
jmenimbulkan,menimbulkan
alngsung,langsung
ukanada,kanada
qsmp,smp
eaa,data
ophak,pihak
jmusikal,musikal
wsyekh,syekh
gtan,hutan
uikekalahan,kekalahan
ganyak,banyak
jntung,jantung
ikil,kuil
werbakar,terbakar
lurahan,kelurahan
itegori,kategori
igara,biara
rskali,sekali
laumni,alumni
ertiket,tiket
nskah,naskah
dtaran,dataran
ererbuat,terbuat
ujempengaruhi,mempengaruhi
rtngan,tangan
openilaian,penilaian
meran,pameran
edangkat,diangkat
itonomi,otonomi
deiri,kediri
nteraksi,interaksi
heptunus,neptunus
ubplik,publik
etopis,tropis
eua,kedua
iopenghargaan,penghargaan
wtrkait,terkait
lmah,malah
ncoba,mencoba
wkit,sakit
itoa,kota
pootensial,potensial
jhkota,mahkota
jmengadopsi,mengadopsi
iekurangan,kekurangan
wengendalikan,mengendalikan
prwira,perwira
uiami,kami
jlang,malang
wediisi,diisi
webrpartisipasi,berpartisipasi
tyantangan,tantangan
ujengaku,mengaku
erksi,reaksi
dcatatan,catatan
ucking,kucing
rropis,tropis
antu,hantu
jembangun,membangun
elindungi,melindungi
hkir,akhir
tonghoa,tionghoa
eibuka,dibuka
weikenal,dikenal
siebutkan,disebutkan
wektinggian,ketinggian
tmur,timur
rrjual,terjual
potanya,kotanya
adaan,keadaan
tbilangan,bilangan
umeyakinkan,meyakinkan
mberontak,pemberontak
kum,kaum
tdar,radar
relangsung,berlangsung
loedakan,ledakan
oprikanan,perikanan
tsaha,usaha
otualangan,petualangan
omite,komite
ok,k
qwsesama,sesama
uusa,musa
rkoasia,kroasia
akstil,kastil
rkya,karya
mjakassar,makassar
hbsa,bisa
hne,en
uertas,kertas
omral,moral
opaggung,panggung
utmur,timur
arian,harian
gb,be
dmaksudkan,dimaksudkan
ecair,cair
wstiap,setiap
orairan,perairan
dearah,darah
dnustri,industri
raap,atap
aqpostolik,apostolik
wmngakui,mengakui
mbali,kembali
wepat,tepat
qrenanya,karenanya
ilub,klub
tjuh,tujuh
rmpaknya,tampaknya
jngubah,mengubah
ieuangan,keuangan
tgumi,bumi
uuil,kuil
trenggara,tenggara
egrhubungan,berhubungan
poameran,pameran
wjnderal,jenderal
tgerjudul,berjudul
ooisi,posisi
ujeluncurkan,meluncurkan
qknal,kanal
wdatang,datang
uarinir,marinir
enmcapai,mencapai
frront,front
dterima,diterima
ntai,pantai
jarkas,markas
iolve,love
ujmenderita,menderita
utemukan,ditemukan
ikespedisi,ekspedisi
wedua,kedua
jaah,kalah
wwang,wang
iounggung,punggung
sjarawan,sejarawan
wediterapkan,diterapkan
umnyak,minyak
okak,kotak
mqs,mas
wpndatang,pendatang
ukemenangan,kemenangan
gntuan,bantuan
ikaibat,akibat
ynklir,nuklir
emkbali,kembali
psisi,posisi
mnandatangani,menandatangani
uimliter,militer
oprdana,perdana
gbuatan,buatan
wbrupaya,berupaya
atbu,batu
uihburan,hiburan
wedemak,demak
deuanya,keduanya
wempat,empat
wperluan,keperluan
anbi,nabi
wekdokteran,kedokteran
lti,tali
ebrkedudukan,berkedudukan
fektif,efektif
inrmal,normal
wmnyadari,menyadari
egrsejarah,bersejarah
tgertempur,bertempur
ekhadiran,kehadiran
qilayah,wilayah
adgis,gadis
lka,luka
dcocok,cocok
pogram,program
qaing,asing
mkam,makam
neyelesaikan,menyelesaikan
jaang,ajang
ibntang,bintang
udcatat,dicatat
rcatat,tercatat
enperbit,penerbit
rhunan,tahunan
qhulu,dahulu
weimulai,dimulai
qanga,manga
atdang,datang
iperjalanan,perjalanan
rhitungan,perhitungan
ioenggemar,penggemar
gqung,agung
uikanker,kanker
laus,luas
ertbunuh,terbunuh
wkbebasan,kebebasan
mjedia,media
ioerguruan,perguruan
mjengalami,mengalami
mndekati,mendekati
muum,umum
uitemukan,ditemukan
utlng,tulang
mnahan,menahan
stelit,satelit
swtudi,studi
wpmbentukan,pembentukan
edibedakan,dibedakan
qantara,antara
gma,bima
wsaa,saja
gdung,gedung
wprhitungan,perhitungan
iisis,krisis
rguna,guna
jmaster,master
hngatif,negatif
eemikian,demikian
emlibatkan,melibatkan
tatas,batas
idang,kadang
kmando,komando
roibumi,pribumi
wean,dewan
nekankan,menekankan
eoktor,doktor
ipengaruh,pengaruh
wngobatan,pengobatan
polonial,kolonial
ruama,utama
jemanggil,memanggil
wrat,serat
jmonumen,monumen
ertambang,tambang
reserikatan,perserikatan
eaya,raya
eiju,keju
kuun,rukun
wnyerah,menyerah
gerubah,berubah
iar,air
varis,baris
imbil,diambil
ebrkurang,berkurang
ipolisi,polisi
eulisan,tulisan
ynvasi,invasi
srna,warna
mjencatat,mencatat
ynantinya,nantinya
wersaing,bersaing
atrian,tarian
tgesaran,besaran
episahkan,dipisahkan
wons,spons
qwsinyal,sinyal
sirael,israel
wluar,keluar
ignifikan,signifikan
uamboja,kamboja
wbrada,berada
welaksanaan,pelaksanaan
erbas,beras
tadan,badan
ietambahkan,ditambahkan
walam,alam
wapakah,apakah
hbitat,habitat
ulberal,liberal
erbicara,berbicara
elnayan,nelayan
uiomite,komite
tmaan,taman
weprayaan,perayaan
looni,koloni
nedapatan,pendapatan
riksis,krisis
twatus,status
erusahaan,perusahaan
ater,teater
epublik,republik
than,tuhan
ujmempelajari,mempelajari
rempat,tempat
bgi,bagi
ujg,juga
qkarta,jakarta
irena,karena
uiklan,iklan
ikoban,korban
eongawasan,pengawasan
yahap,tahap
qgya,gaya
ukoin,koin
jmrk,mark
uy,yu
ujmoral,moral
wemengaruhi,memengaruhi
rtepi,tepi
jmusisi,musisi
yualitas,kualitas
kaar,akar
eperangan,peperangan
idsen,dosen
celakaan,kecelakaan
nium,minum
rtaas,atas
ekuntungan,keuntungan
ktentuan,ketentuan
yska,suka
wecahan,pecahan
tgberakhir,berakhir
ibawakan,dibawakan
wdimenangkan,dimenangkan
wdalam,dalam
ikantor,kantor
prsahabatan,persahabatan
uegiatan,kegiatan
frmat,format
wersiapan,persiapan
ejnganggap,menganggap
uikaret,karet
muru,umur
ierak,perak
webkas,bekas
wrhubung,terhubung
tgahan,bahan
akwtu,waktu
jadura,madura
wrpilih,terpilih
utual,ritual
uionsili,konsili
qasangan,pasangan
emnggabungkan,menggabungkan
lr,rel
werilis,rilis
jaterial,material
ubuh,tubuh
qalngit,langit
usmur,sumur
ieikuti,diikuti
oyar,layar
airyanya,karyanya
umampu,mampu
awngat,sangat
ointroversi,kontroversi
ndukung,mendukung
itca,cita
wdiselesaikan,diselesaikan
uenduduki,menduduki
amju,maju
ngumpulkan,mengumpulkan
wkrap,kerap
yjet,jet
oambat,lambat
liasifikasi,klasifikasi
roko,toko
urkun,rukun
eonerimaan,penerimaan
yunia,dunia
apsir,pasir
luran,saluran
epmbuat,pembuat
edaptasi,adaptasi
resebut,tersebut
qaademi,akademi
rrbaru,terbaru
iyngga,hingga
relah,telah
jmmbahas,membahas
iumumkan,diumumkan
rtoritas,otoritas
wndali,kendali
dnominasikan,dinominasikan
wengurus,pengurus
qya,saya
qweb,web
emnetap,menetap
ulbu,bulu
udonesia,indonesia
lperator,operator
uaya,budaya
embayar,membayar
editemui,ditemui
yndangan,undangan
imdel,model
terkisar,berkisar
eqyang,sayang
eroses,proses
iliometer,kilometer
eterbagi,terbagi
perti,seperti
uikatolik,katolik
opmbentukan,pembentukan
ooulasi,populasi
welum,belum
jineral,mineral
eretap,tetap
gbus,bagus
ejnyimpan,menyimpan
ikmudian,kemudian
erlaku,berlaku
emicu,memicu
eondidikan,pendidikan
wptani,petani
bgerlayar,berlayar
weayak,dayak
iakai,dipakai
qwpesies,spesies
astu,satu
qakanannya,makanannya
ijliar,miliar
euia,rusia
alngit,langit
erterkenal,terkenal
gbok,blok
maan,taman
jmskin,miskin
trulisan,tulisan
ensdiri,sendiri
juasa,jasa
edlahirkan,dilahirkan
mjembawa,membawa
jembantu,membantu
kieseluruhan,keseluruhan
enilaian,penilaian
uidbatasi,dibatasi
ikuba,kuba
wkurangan,kekurangan
yulnak,lunak
ubutuhkan,dibutuhkan
jahkota,mahkota
waa,sama
iryawan,karyawan
yjurusan,jurusan
yblat,bulat
oelanggan,pelanggan
abj,baja
ikret,karet
yunsantara,nusantara
ekuensi,frekuensi
wqnime,anime
tylang,ulang
mjurah,murah
atjah,gajah
oinferensi,konferensi
eolajar,pelajar
iflsuf,filsuf
ytalia,italia
jumnya,umumnya
wderhana,sederhana
nggemar,penggemar
kjadian,kejadian
ilahiran,kelahiran
mnyusul,menyusul
apbak,bapak
denang,senang
jsa,jasa
zaya,saya
werujuk,merujuk
yutr,tur
wemnghubungkan,menghubungkan
qaa,apa
qwserikat,serikat
swurya,surya
ul,paul
qabndung,bandung
rtangguan,gangguan
jmenyebut,menyebut
qpk,pak
asmih,masih
yuiklan,iklan
iodperasikan,dioperasikan
wenara,menara
iodkumenter,dokumenter
wbrgantung,bergantung
moor,nomor
weiterima,diterima
opensiun,pensiun
sikal,musikal
wqgama,agama
ocv,voc
umemuat,memuat
negenal,mengenal
hadah,ibadah
opeluru,peluru
kmerdekaan,kemerdekaan
amkbing,kambing
tbab,bab
lqumni,alumni
iopapua,papua
almela,lamela
ementara,sementara
yerfokus,berfokus
oplajaran,pelajaran
qahunnya,tahunnya
kiualifikasi,kualifikasi
wiperoleh,diperoleh
opoensi,potensi
opaakah,apakah
rtlis,tulis
ikritikus,kritikus
yubs,bus
ekuasaannya,kekuasaannya
ipelatihan,pelatihan
aeng,sang
gberbicara,berbicara
wencana,rencana
iesiplin,disiplin
wsukses,sukses
eenaga,tenaga
sianya,sisanya
ibiasaan,kebiasaan
rmah,murah
jmngelola,mengelola
terusia,berusia
ukeagamaan,keagamaan
erodo,ordo
weemokrat,demokrat
lestina,palestina
uembayar,membayar
wselesai,selesai
opemilihan,pemilihan
eptunus,neptunus
lih,alih
liaim,klaim
jmbebaskan,membebaskan
onkferensi,konferensi
dduk,duduk
odto,foto
plen,polen
rekedudukan,berkedudukan
eksual,seksual
ynilai,nilai
weaksasa,raksasa
okpok,pokok
qat,ayat
oor,motor
etom,tom
uiklim,iklim
aqrus,arus
wsetember,september
abrisan,barisan
timewa,istimewa
qasional,nasional
olua,luas
wfstival,festival
rh,roh
qecara,secara
ebrguna,berguna
qrhasia,rahasia
ipala,kepala
jakassar,makassar
ssungguhnya,sesungguhnya
hnaggur,anggur
erncangan,rancangan
rfanda,tanda
jemengaruhi,memengaruhi
wtus,situs
udjadikan,dijadikan
ios,pos
ormainan,permainan
uikebun,kebun
ajngan,jangan
wdijalankan,dijalankan
qpsang,pasang
uncak,puncak
ansmisi,transmisi
qantai,pantai
nggung,panggung
nntinya,nantinya
aqlumni,alumni
umenghadiri,menghadiri
granik,organik
tgmpong,gampong
wetahun,setahun
lkitab,alkitab
aidipaten,kadipaten
isdang,sidang
yhnominasi,nominasi
qatang,batang
dq,ad
issialis,sosialis
wijalankan,dijalankan
uemampuan,kemampuan
eaga,tenaga
wekberadaan,keberadaan
sur,unsur
qaahnya,ayahnya
nlah,inilah
wepjabat,pejabat
rlepas,terlepas
tahkan,bahkan
ihirnya,akhirnya
kitikus,kritikus
indasti,dinasti
wemngumpulkan,mengumpulkan
enyanyi,penyanyi
aena,arena
wlikopter,helikopter
kni,kini
ioindah,pindah
okat,kata
akjarta,jakarta
lndok,pondok
qsupaya,supaya
loangit,langit
reulang,berulang
bk,bek
eknyataan,kenyataan
rli,tali
umembela,membela
uingkatan,singkatan
estasi,prestasi
wesual,seksual
rsrategi,strategi
espk,sepak
emnawarkan,menawarkan
imu,kamu
ayang,sayang
wdomain,domain
eadakan,diadakan
rjana,sarjana
iru,kru
erkuensi,frekuensi
mulahnya,jumlahnya
ulb,klub
qen,agen
iapasitas,kapasitas
jminta,meminta
euara,udara
wlanjutnya,selanjutnya
uakanannya,makanannya
udra,indra
itab,kitab
oprsetujuan,persetujuan
qtkhta,takhta
uilstrik,listrik
opperangan,peperangan
qagar,agar
emimliki,memiliki
qtrget,target
glaksi,galaksi
bmi,bumi
iperak,perak
yari,hari
apket,paket
wemnyediakan,menyediakan
rfilsuf,filsuf
ete,set
qwropa,eropa
iolawan,lawan
yuaringan,jaringan
ujunal,jurnal
qamrk,mark
ikrban,korban
ibenaran,kebenaran
edkembangkan,dikembangkan
ipemberontakan,pemberontakan
erbuat,terbuat
enghargai,menghargai
jmmpu,mampu
all,lalu
irtas,kertas
wnetap,menetap
ykim,hakim
jotif,motif
ratan,daratan
hidustri,industri
ejnunjukkan,menunjukkan
opkistan,pakistan
qwesuatu,sesuatu
wibentuk,dibentuk
ejadikan,dijadikan
ipla,pola
emberontak,pemberontak
bgertelur,bertelur
sh,sah
ekisten,kristen
trak,gerak
wktu,waktu
rtema,tema
gerhenti,berhenti
ualah,ialah
tyhubungan,hubungan
bgersama,bersama
ylaman,halaman
wsrat,serat
ansportasi,transportasi
errjun,terjun
tot,otot
rmaan,taman
mbang,lambang
wefbruari,februari
gngaran,anggaran
qgari,nagari
ty,yg
evrolusi,revolusi
iperistiwa,peristiwa
jmengeluarkan,mengeluarkan
eribu,ribu
wssial,sosial
rfrmula,formula
ienjaga,penjaga
ynagari,nagari
qsk,sk
hasa,bahasa
smpurna,sempurna
rtrns,trans
wekade,dekade
ihdangan,hidangan
epraturan,peraturan
oprang,perang
nacaman,ancaman
